objectId,createdAt,updatedAt,ACL,ProgrammingLanguage,Source
O12OMAnrIx,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ALGOL 60,http://en.wikipedia.org/wiki/ALGOL_60
XkHUHrwFzN,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Boomerang,http://en.wikipedia.org/wiki/Boomerang_(programming_language)
uRbuGSbRy7,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Agda,http://en.wikipedia.org/wiki/Agda_(theorem_prover)
VXiBc6WHoM,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Ace DASL,http://en.wikipedia.org/wiki/Distributed_Application_Specification_Language
zPSQUXpuo6,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ARexx,http://en.wikipedia.org/wiki/ARexx
XSgjvvsq7N,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ACC,http://en.wikipedia.org/wiki/ACC_(programming_language)
QzgjILUBeM,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ALGOL 68,http://en.wikipedia.org/wiki/ALGOL_68
XMJgY7WGmw,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ABAP,http://en.wikipedia.org/wiki/ABAP
RrZeGKUL68,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Bigwig,http://en.wikipedia.org/wiki/Bigwig_(programming_language)
zmmP95KMai,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,A-0 System,http://en.wikipedia.org/wiki/A-0_System
mQ9CCSY9jf,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ACT-III,http://en.wikipedia.org/wiki/LGP-30#ACT-III_programming_language
ZSFjJOQg0s,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,CFEngine,http://en.wikipedia.org/wiki/CFEngine
HrHrICQnjy,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Chef,http://en.wikipedia.org/wiki/Chef_(programming_language)
6Dt0YhlmLH,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ABC ALGOL,http://en.wikipedia.org/wiki/ABC_ALGOL
G5uKKeGqsC,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,A# .NET,http://en.wikipedia.org/wiki/A_Sharp_(.NET)
OoSg3oBndE,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ALGOL 58,http://en.wikipedia.org/wiki/ALGOL_58
XJT8JXGHFQ,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,BitC,http://en.wikipedia.org/wiki/BitC
7GAb2Gqk53,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Bourne shell,http://en.wikipedia.org/wiki/Bourne_shell
WTHiaBIV1Y,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Cel,http://en.wikipedia.org/wiki/Cel_(programming_language)
lxu1ZK78DQ,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ALGOL W,http://en.wikipedia.org/wiki/ALGOL_W
O3ovy8QBnQ,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,AmbientTalk,http://en.wikipedia.org/wiki/AmbientTalk
HxS7qm1kyI,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,AutoLISP / Visual LISP,http://en.wikipedia.org/wiki/AutoLISP
gHHKGka5jn,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Assembly language,http://en.wikipedia.org/wiki/Assembly_language
mdtxBDlEe3,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,B,http://en.wikipedia.org/wiki/B_(programming_language)
evYxI6ehtJ,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ALF,http://en.wikipedia.org/wiki/Algebraic_Logic_Functional_programming_language
wogxuJeTRf,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ActionScript,http://en.wikipedia.org/wiki/ActionScript
PMX6bQYpbP,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,AIMMS,http://en.wikipedia.org/wiki/AIMMS
LBHPTsEfd7,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,ABLE,http://en.wikipedia.org/wiki/ABLE_(programming_language)
HKthwJsOoq,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Arc,http://en.wikipedia.org/wiki/Arc_(programming_language)
fJfSikDsPJ,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,CFML,http://en.wikipedia.org/wiki/ColdFusion_Markup_Language
T2aeqO4K8A,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,Blue,http://en.wikipedia.org/wiki/Blue_(programming_language)
chpqVvCNF3,Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),Thu Feb 06 2020 08:22:51 GMT-0800 (Pacific Standard Time),null,A# (Axiom),http://en.wikipedia.org/wiki/A_Sharp_(Axiom)
